"All test cases below should be initiated with the following initial conditions:
CFTP.FILEMANAGER.SHARE.011,"Verify deleting for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.011,"Verify canceling deleting for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Public in the browser,,"The option list will show as: Copy Link, Change Expiry, Set Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the CANCEL button,,The file is still in the list,,,
CFTP.FILEMANAGER.SHARE.012,"Verify ""Copy Link"" for file ""Share without password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,, 
,,,"Select ""Copy Link"" in the option list",,"""Copy Link"" form appears ",,,
,,,Click on the OK button,,,,,
,,,Open a new tab on the browser and paste the copied link,,"The URL is pasted successfully, and the file is able to be download with password",,,
CFTP.FILEMANAGER.SHARE.013,"Verify ""Change Expiry"" for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Expiry"" in the option list",,"""Change Expiry"" form appears ",,,
,,,Enter the Date for expiring,,,,,
,,,Click on the OK button,,The new Expiry date is shown for the file ,,,
CFTP.FILEMANAGER.SHARE.014,"Verify canceling for ""Change Expiry"" for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Expiry"" in the option list",,"""Change Expiry"" form appears ",,,
,,,Enter the Date for expiring,,,,,
,,,Click on the CANCEL button,,The old Expiry date is shown for the file ,,,
CFTP.FILEMANAGER.SHARE.015,"Verify ""Change Password"" for file ""Share with password""","- Shared files with/without password ->the Shares folder appears with these shared files
 - Change password is enabled on the Manager",Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Password"" in the option list",,"""Change Password"" form appears ",,,
,,,,,,,,
,,,,,,,,
CFTP.FILEMANAGER.SHARE.016,"Verify canceling ""Change Password"" for file ""Share with password""","- Shared files with/without password ->the Shares folder appears with these shared files
 - Change password is enabled on the Manager",Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Change Password"" in the option list",,"""Change Password"" form appears ",,,
,,,,,,,,
,,,,,,,,
CFTP.FILEMANAGER.SHARE.017,"Verify ""Remove Password"" for file ""Share with password""","- Shared files with/without password ->the Shares folder appears with these shared files
 - Change password is enabled on the Manager",Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Remove Password"" in the option list",,"""Remove Password"" form appears ",,,
,,,Click on the OK button,,"""Remove Password"" form closes. ",,,
,,,Check the Status of the file,,The status is changed to Public,,,
CFTP.FILEMANAGER.SHARE.018,"Verify canceling ""Remove Password"" for file ""Share with password""","- Shared files with/without password ->the Shares folder appears with these shared files
 - Change password is enabled on the Manager",Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Remove Password"" in the option list",,"""Remove Password"" form appears ",,,
,,,Click on the Cancel button,,"""Remove Password"" form closes. ",,,
,,,Check the Status of the file,,The status is changed to Password Protected,,,
CFTP.FILEMANAGER.SHARE.019,"Verify Stopping sharing for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Stop Sharing"" in the option list",,"""Stop sharing"" form appears ",,,
,,,Click on the Ok button,,"The toast message will be shown in the top right of the page:""The files are no longer shared""",,,
,,,Check the Status of the selected file,,The Status is Stopped,,,
CFTP.FILEMANAGER.SHARE.020,"Verify canceling Stopping sharing for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Stop Sharing"" in the option list",,"""Stop sharing"" form appears ",,,
,,,Click on CANCEL button,,"""Stop sharing"" form closes. ",,,
,,,Check the Status of the selected file,,The Status is Password protected,,,
CFTP.FILEMANAGER.SHARE.021,"Verify deleting for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.022,"Verify canceling deleting for file ""Share with password""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Password protected in the browser,,"The option list will show as: Copy Link, Change Expiry, Change Password, Remove Password, Stop Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the CANCEL button,,The file is still in the list,,,
CFTP.FILEMANAGER.SHARE.023,"Verify Restart Sharing for file ""Stopped sharing""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Stopped in the browser,,"The option list will show as: Restart Sharing, and Delete",,,
,,,"Select ""Restart Sharing"" in the option list",,"""Share Restarted"" form appears ",,,
,,,Click on the OK button,,"The file is shared again, the status of the is public",,,
CFTP.FILEMANAGER.SHARE.024,"Verify deleting for file ""Stopped""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Stopped in the browser,,"The option list will show as: Restart Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the OK button,,"The file is deleted, no longer in the list",,,
CFTP.FILEMANAGER.SHARE.025,"Verify canceling deleting for file ""Stopped""",- Shared files with/without password ->the Shares folder appears with these shared files,Right click to the file which has status Stopped in the browser,,"The option list will show as: Restart Sharing, and Delete",,,
,,,"Select ""Delete"" in the option list",,"""Remove Share"" form appears ",,,
,,,Click on the CANCEL button,,The file is still in the list,,,
Toolbar,,,,,,,,
CFTP.FILEMANAGER.SHARE.026,Verify able to download the Share without password file,- Shared files with/without password ->the Shares folder appears with these shared files,Select a shared file with status is public,,Download icon is enabled on the toolbar,,,
